ISO,ShutterSpeedValue,ApertureValue,Flash,ExposureCompensation,LensType,FocalLength,MaxAperture,Professional,Version,AutofocusType,Hue_Mean,Hue_StdDev,Hue_Skewness,Hue_Kurtosis,Hue_Median,Hue_25th_Percentile,Hue_75th_Percentile,Saturation_Mean,Saturation_StdDev,Saturation_Skewness,Saturation_Kurtosis,Saturation_Median,Saturation_25th_Percentile,Saturation_75th_Percentile,Value_Mean,Value_StdDev,Value_Skewness,Value_Kurtosis,Value_Median,Value_25th_Percentile,Value_75th_Percentile
250,0.0005,1.8,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,747.7971556093938,8.804974431178863,95.98054400212385,11.5,2.0,40.0,171.0,234.81455448928202,4.2330422557414975,30.799379501654023,101.5,24.75,220.25,171.0,339.08359957391036,2.2092208850552977,3.8357806743801284,22.5,14.0,54.5
160,0.004,1.8,No Flash,0,RF,50,1.8,No,0,STM,171.0,463.52508022759673,5.734072800841144,42.23179531992482,6.0,0.0,110.25,171.0,198.16917882834355,2.9005293344450114,14.906967000058383,88.5,52.0,245.25,171.0,192.91357763905577,1.0178091951488888,-0.6177307964634995,74.0,29.0,333.75
100,0.000125,2.2,No Flash,0,RF,50,1.8,No,0,STM,171.0,443.2979123146194,3.818678649025346,15.49209086930269,7.5,0.0,83.5,171.0,258.46841562365023,13.792529191802632,205.88840059921043,139.5,115.0,172.0,171.0,133.41585011721807,0.5636469405368678,-0.8056703732034531,158.0,52.25,253.25
320,0.000625,4.5,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,401.90506302794944,4.834169274430423,28.833413875308025,33.0,4.0,126.5,171.0,267.5470022958583,2.3003058346997274,6.322267482507472,49.0,8.75,189.75,171.0,314.8002094583166,12.97797196463169,187.8307709652593,162.5,59.5,217.25
400,0.004,2.0,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,580.719024948813,7.103801544227546,63.10643494429415,24.0,4.0,89.0,171.0,229.20308612123878,3.476621513327743,19.746660407737288,88.0,29.75,222.25,171.0,198.49555253204036,2.6829928303641553,9.119597417253466,150.5,13.75,218.75
200,0.004,1.8,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,1144.3756895137192,13.882670636676528,205.12932316805032,7.0,0.0,38.5,171.0,1080.2675739139818,15.228759007088572,236.5195236547735,13.0,2.0,123.5,171.0,239.8085499414064,3.380038250133784,20.341185159414024,49.0,35.0,223.5
160,0.005,1.4,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,400.20292704139484,4.3949514872961215,22.359457088984545,23.0,7.0,152.75,171.0,218.22889717564902,4.693922285629896,32.22328110380471,108.0,46.75,263.0,171.0,103.16381845152883,1.5460836663044246,2.225263509407082,125.0,101.75,222.25
640,0.005,2.0,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,485.60716666097505,5.099799744819983,30.831709527863197,10.0,0.0,100.5,171.0,315.7921587056905,3.485376011013788,15.226834820322164,52.5,26.75,116.75,171.0,156.16575228743338,0.7798166621394694,-0.2885523844431783,140.0,5.0,256.25
200,0.004,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,482.5136089402039,4.153368080367794,18.596462229246484,8.0,0.75,71.25,171.0,312.6972752319726,2.0115054907203156,2.96514055660307,17.0,2.0,111.0,171.0,108.44591105707951,1.3650472950301598,2.672143540740488,140.0,96.0,233.0
400,0.002,2.0,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,307.2778287844732,3.327247032354569,12.427186070686046,62.0,7.0,166.5,171.0,200.25692481784495,1.8219398257983541,5.32227371060565,81.5,15.0,294.25,171.0,130.21529648048266,5.7926768038037135,58.44599859715392,140.5,89.0,234.75
640,0.125,8.0,"On, Fired",0,EF,24,1.4,L,2,USM,171.0,481.698914001267,4.116907986295971,18.813148194548386,4.0,0.0,68.25,171.0,306.0035743255297,10.067141278720404,123.12517105064633,128.5,78.25,165.25,171.0,173.1760754983205,2.656623090376393,9.012769129406852,95.0,71.75,227.25
160,0.005,1.8,"Off, Did not fire",0,EF,50,1.2,L,0,USM,171.0,736.1792941430776,8.08632853269514,81.16403803756586,0.0,0.0,5.0,171.0,592.8180515027356,6.599638898862021,47.62706460621346,41.5,24.75,103.5,171.0,207.37997281560243,0.8984370916266824,-0.6163709612451416,66.5,0.0,318.5
400,0.16666666666666666,7.1,"On, Fired",0,EF,24,1.4,L,2,USM,171.0,569.3208810723527,4.704680117972255,25.07211810282256,3.0,0.0,23.25,171.0,467.6343139275603,12.207243483103467,162.9415686522944,116.0,74.0,167.25,171.0,246.45377038605028,4.035233732833054,19.941496562141264,79.5,59.75,174.25
640,0.125,8.0,"On, Fired",0,EF,24,1.4,L,2,USM,171.0,509.83057847681124,6.754537374632669,59.16530501915066,21.5,0.0,113.75,171.0,429.7764680621776,9.874103808197297,102.7430199459924,104.0,71.0,159.0,171.0,368.32341851286077,9.485415122536908,117.64858792221385,76.5,38.75,135.0
250,0.00625,1.8,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,442.3787704699447,3.366359197356425,11.79264173135324,1.0,0.0,52.0,171.0,185.0785517354726,2.500109373094154,10.130728120524653,110.0,42.0,247.75,171.0,184.07551948860555,1.1890848592118304,0.66212586176019,108.5,21.0,277.5
320,0.000625,2.0,No Flash,0,RF,50,1.8,No,0,STM,171.0,702.0232590520061,5.04934831391003,26.103421741837224,3.0,0.0,16.0,171.0,326.72461884972796,4.220921249511354,23.589785859843964,23.0,4.0,213.75,171.0,385.0459286728013,7.443062816223047,65.97903667353195,94.5,34.25,190.5
500,0.004,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,365.55760062540077,7.261133268576678,75.65313124602436,58.0,7.0,195.5,171.0,215.76763398387627,2.64606362513927,10.538982724684486,85.5,25.25,240.25,171.0,178.65347043928367,3.3154098461751658,14.668369376919056,155.0,68.5,208.25
160,0.125,7.1,"On, Fired",0,EF,24,1.4,L,2,USM,171.0,810.0071903616041,9.929549617567012,116.23817320682642,3.0,0.0,69.25,171.0,788.1332225978676,10.515589917376323,114.39457537885218,48.0,7.0,121.75,171.0,559.6101740274206,8.003717505067064,86.20282316178653,26.0,3.0,79.0
320,0.0003125,1.6,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,605.4812716447141,4.8779776855530415,23.542515369287756,6.5,0.0,72.75,171.0,325.22989465146037,6.210349844892672,46.16402671797073,86.5,20.75,220.75,171.0,263.09704423938325,3.403728095498158,12.02468547398925,90.0,59.0,130.25
320,0.0003125,1.6,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,795.1059235645903,8.952245197050727,95.04337107254278,8.0,0.0,45.0,171.0,393.19789665955744,5.212142291782205,32.99313676259783,49.5,8.0,173.0,171.0,412.5734025600778,3.604539202844853,12.902111348572827,35.0,29.0,65.0
250,0.004,1.8,No Flash,0,RF,50,1.8,No,0,STM,171.0,304.8876586137917,3.1777176658496216,13.191008275002524,23.5,1.0,220.5,171.0,214.35929242745695,1.58051892812669,2.4753606704385014,89.0,2.0,249.25,171.0,139.7285034898034,1.0340136626301855,0.9855477264408434,159.0,45.75,228.25
320,0.001,2.0,No Flash,0,RF,50,1.8,No,0,STM,171.0,591.4215990412423,7.2841407362555985,65.83876019016695,3.0,0.0,83.0,171.0,305.99337462190255,6.563592825258808,65.19740293543072,78.0,3.75,251.5,171.0,288.50786655219645,4.145310616197666,18.49258119210967,107.5,69.0,135.5
100,0.000125,2.2,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,388.5624246018907,4.069032254365684,20.796524767308654,15.0,2.0,125.25,171.0,238.86159041377917,5.472506138609408,39.748349941399134,117.0,62.75,199.0,171.0,217.54476909937412,2.119929423627232,5.917046861875679,63.0,34.5,311.0
500,0.004,2.0,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,519.9469098499384,7.452451013945278,62.44192971362976,24.0,3.0,168.0,171.0,312.96130950965807,4.955430718387801,29.732619630609932,72.5,23.0,208.25,171.0,268.6361241298348,4.097163724044914,20.06616280108731,80.5,29.0,227.5
160,0.005,1.8,No Flash,0,RF,50,1.8,No,0,STM,171.0,446.1410143525251,4.6332376212882735,26.215331154839582,13.0,2.0,92.5,171.0,204.9334876856391,4.490604269274602,27.76125256514572,124.5,77.75,178.25,171.0,181.04581170935714,0.7714680668773386,-1.0093957254938597,47.0,27.0,335.0
800,0.0015625,1.6,"Off, Did not fire",0,EF,35,1.4,L,2,USM,171.0,508.74067098326236,5.55450321721272,35.85475830542712,13.0,2.0,94.5,171.0,476.07171859920436,5.906946459628898,41.10053565171274,49.0,3.0,133.75,171.0,125.26297338000563,0.591178869631593,0.150507050929805,176.0,64.75,252.0
