,ISO,ShutterSpeedValue,ApertureValue,Flash,ExposureCompensation,LensType,FocalLength,MaxAperture,Professional,Version,AutofocusType,Hue_Mean,Hue_StdDev,Hue_Skewness,Hue_Kurtosis,Hue_Median,Hue_25th_Percentile,Hue_75th_Percentile,Saturation_Mean,Saturation_StdDev,Saturation_Skewness,Saturation_Kurtosis,Saturation_Median,Saturation_25th_Percentile,Saturation_75th_Percentile,Value_Mean,Value_StdDev,Value_Skewness,Value_Kurtosis,Value_Median,Value_25th_Percentile,Value_75th_Percentile
AutofocusType,0.02060878205643361,0.028937074412493675,0.3014979875837691,1.0,0.15041864117441162,0.9999651921483947,0.3213528421641623,1.0,0.9999651921483947,0.33066902582782454,1.0,0.3776198295794102,0.2404065775375515,0.1048741336321836,0.12447594672987619,0.20174202336512428,0.0,0.2404065775375515,0.3776198295794102,0.31140187279554815,0.32583557387302925,0.2654135783074626,0.3022428671743116,0.28190274768220014,0.2404065775375515,0.3776198295794102,0.2372399154607524,0.18242401661364688,0.09012868463065907,0.3017894233224738,0.24646256672967573,0.30269672706441186
Hue_Mean,0.31041336550377063,0.2844482067871375,0.9178947638272836,0.21038644035702622,0.0,0.3776198295794102,0.7430430250069648,0.3907172748790608,0.3776198295794102,0.7385086569752144,0.3776198295794102,1.0,1.0,0.312100461822227,0.38368254343236036,0.8260885738580976,0.0638451134917729,1.0,0.9999945254170075,1.0,0.49557687900616504,0.46440256732372975,0.9991023986184278,0.9937330568683984,1.0,0.9999945254170075,0.9518833086648342,0.5972265625326361,0.6419299195741651,0.9990107831593736,0.9514940467586225,0.9991895940358089
Hue_StdDev,0.11288279213582413,0.12180973198119766,0.8108960971480139,0.46897727081568985,0.0,0.2404065775375515,0.47945759261771737,0.7519124597862218,0.2404065775375515,0.5618843883066235,0.2404065775375515,1.0,1.0,0.7516211782348303,0.7530496941308015,0.864191647236639,0.5812988095112298,0.8826868853994614,1.0,0.9162081472795811,0.6074893096110646,0.6377074180372722,0.6881504084842298,0.671557797561353,0.8806685012536266,1.0,0.9281689042081603,0.6368298017421199,0.619032371783619,0.7569622707852834,0.6792421499644993,0.6893173680085589
Hue_Skewness,0.0,0.16389584882677444,0.374003887652938,0.18703724162384264,0.06770037010104413,0.1048741336321836,0.26394913907880957,0.26122854178783433,0.1048741336321836,0.2593820441183963,0.1048741336321836,0.312100461822227,0.7516211782348303,1.0,0.9822857534850332,0.36996240186291024,0.06919146981767509,0.39090376032359647,0.3121004618222272,0.8463667282675176,0.747649765672435,0.755595521397768,0.5191677541529072,0.4529736801832881,0.5084009125918761,0.3121004618222272,0.65445131775346,0.7708156604538112,0.7258326034050416,0.41942349255034556,0.47802971688916307,0.4979022894793135
Hue_Kurtosis,0.0,0.19044272261328637,0.38168139105908283,0.201220302864681,0.0,0.12447594672987619,0.2692661772291812,0.2782241604950537,0.12447594672987619,0.27618748729040987,0.12447594672987619,0.38368254343236036,0.7530496941308015,0.9822857534850332,1.0,0.3849966728538732,0.0331316858171718,0.3863713501656806,0.38368254343236047,0.848177816420054,0.7419185772175145,0.7675700487610675,0.5205456258572246,0.4465974141495393,0.528598642693109,0.38368254343236047,0.669428985689384,0.7452769946439692,0.7334185630878303,0.41465482432081874,0.4560290943467933,0.5081590788806345
Hue_Median,0.056921737870402875,0.07062022724728344,0.7511957207463221,0.40657190355435835,0.0,0.20174202336512428,0.3674487540605201,0.632590489226484,0.20174202336512428,0.4244455878379854,0.20174202336512428,0.8260885738580976,0.864191647236639,0.36996240186291024,0.3849966728538732,1.0,0.8376900148930027,0.94069618630432,0.826088573858098,0.665179236420557,0.41363389624260793,0.39855449793092806,0.599254355206324,0.7013256776324632,0.7797737108248488,0.826088573858098,0.7974914005825466,0.5384023086608283,0.553562393818145,0.7904041807032636,0.8185298748664834,0.6507986694153771
Hue_25th_Percentile,0.0,0.0,0.23891342886503777,0.0,0.0,0.0,0.0,0.0,0.0,0.02394913208658427,0.0,0.0638451134917729,0.5812988095112298,0.06919146981767509,0.0331316858171718,0.8376900148930027,1.0,0.6733906235411302,0.06384511349177314,0.3197378533113445,0.15035260320119168,0.0917545932191982,0.2023348415288324,0.45824733808403767,0.43672162725723424,0.06384511349177314,0.12036241060784712,0.18219744857148754,0.13497869835057277,0.7107219411808542,0.6624920308032797,0.24589948873257514
Hue_75th_Percentile,0.11288279213582438,0.12180973198119756,0.7855460890513728,0.46897727081568996,0.0,0.2404065775375515,0.4550994626223189,0.7321839428545831,0.2404065775375515,0.5336265634812792,0.2404065775375515,1.0,0.8826868853994614,0.39090376032359647,0.3863713501656806,0.94069618630432,0.6733906235411302,1.0,1.0,0.7154512938544599,0.4129288287025206,0.3756768743603763,0.6839949414953606,0.7194833884050091,0.8478820789673073,1.0,0.8162991746537969,0.47654435702651,0.46743741953930595,0.7689700632567832,0.7709355906940308,0.6666848864174751
Saturation_Mean,0.31041336550377063,0.2844482067871375,0.9178947638272836,0.21038644035702622,0.0,0.3776198295794102,0.7430430250069648,0.3907172748790608,0.3776198295794102,0.7385086569752144,0.3776198295794102,0.9999945254170075,1.0,0.3121004618222272,0.38368254343236047,0.826088573858098,0.06384511349177314,1.0,1.0,1.0,0.49557687900616504,0.46440256732372975,0.9991023986184278,0.9937330568683984,1.0,0.9999945254170075,0.9518833086648342,0.5972265625326361,0.6419299195741651,0.9990107831593736,0.9514940467586225,0.9991895940358089
Saturation_StdDev,0.10250720092323048,0.10444608341158133,0.6916449041535436,0.3617261636598358,0.0,0.31140187279554815,0.5060940626759983,0.6119955962011586,0.31140187279554815,0.7225238521510237,0.31140187279554815,1.0,0.9162081472795811,0.8463667282675176,0.848177816420054,0.665179236420557,0.3197378533113445,0.7154512938544599,1.0,1.0,0.8206326843498418,0.8174993935729753,0.8396608471182121,0.7949466957739474,0.8125963157839031,1.0,0.8765864891514917,0.8386540401943169,0.8115499638884479,0.8358558057774962,0.7872206184931441,0.8656660092855047
