,ISO,ShutterSpeedValue,ApertureValue,FocalLength,MaxAperture,Version,Hue_Mean,Hue_StdDev,Hue_Skewness,Hue_Kurtosis,Hue_Median,Hue_25th_Percentile,Hue_75th_Percentile,Saturation_Mean,Saturation_StdDev,Saturation_Skewness,Saturation_Kurtosis,Saturation_Median,Saturation_25th_Percentile,Saturation_75th_Percentile,Value_Mean,Value_StdDev,Value_Skewness,Value_Kurtosis,Value_Median,Value_25th_Percentile,Value_75th_Percentile
Hue_Median,-0.4035986171194361,0.22486805724665554,0.5744195382729393,0.4453802934769147,-0.5868770545939828,-0.4501022651602584,0.8593936824710294,0.6665532214080894,0.1884434917540734,0.21127914067277714,1.0,0.5752709095193167,0.9414348746901207,0.8593936824710294,0.7181166351078547,0.177654253388491,0.19104630389490837,0.8008787185723806,0.7733926501097272,0.7842298330655864,0.8593936824710294,0.7280254513230467,0.41378475887251653,0.4537613747882961,0.7940268810958776,0.8021173671536181,0.7376910676700155
Hue_25th_Percentile,0.003837986689699558,-0.03796395419292861,0.07048815808144815,0.34244778747866916,-0.437376409743193,-0.2666118507616377,0.29149937994977176,0.017551313286257947,-0.08164854977658538,-0.04431558420832171,0.5752709095193167,1.0,0.4954186567944012,0.29149937994977176,0.10450475144392053,-0.03248579962869799,0.00807462655237649,0.3524705714546735,0.3217542854886901,0.42982350220714055,0.29149937994977176,0.17041792112069315,0.06677543561010364,0.09360485545741544,0.3097286658633431,0.29025643517873356,0.22884930338005435
Hue_75th_Percentile,-0.42172575154307596,0.22739960514172292,0.57509089345147,0.424945027977811,-0.5585768242667679,-0.44230229676059074,0.8637604112851746,0.6468282828964391,0.16751828427288215,0.19866070747217257,0.9414348746901207,0.4954186567944012,1.0,0.8637604112851746,0.7086274285187738,0.1571951370247648,0.16807384408624573,0.8010510368653285,0.7880924472479854,0.7732223804924143,0.8637604112851746,0.7138729918642338,0.40297821745805473,0.44735571646748873,0.8071906835773474,0.8003270015612208,0.7514434473112113
Saturation_Mean,-0.44512207895060285,0.31902513432706514,0.730079974497635,0.46669039634426096,-0.6148447143476291,-0.5307644320211969,1.0,0.8637598292557835,0.1784353313419372,0.19314012925231827,0.8593936824710294,0.29149937994977176,0.8637604112851746,1.0,0.8637598292557835,0.19417957951730605,0.19894113312638181,0.8637619320270674,0.8580118601084202,0.863760257424153,1.0,0.8637598292557835,0.44556160093762986,0.4958006597031921,0.8515573518053879,0.8145401451446019,0.8637603561127786
Saturation_StdDev,-0.3634053895161817,0.4122682895110203,0.6726645121135705,0.29113509560152623,-0.5051098896670487,-0.3666114463225352,0.8637598292557835,0.9378568891645631,0.5030343111801652,0.4974306183374379,0.7181166351078547,0.10450475144392053,0.7086274285187738,0.8637598292557835,1.0,0.5445673142315794,0.5203845270847665,0.6283685637742158,0.6856061128498868,0.5525844263501525,0.8637598292557835,0.9330691067185137,0.6716346383817106,0.6886704222576148,0.6387826933498381,0.6681957317032872,0.6288350280654337
Saturation_Skewness,-0.03434404924057956,0.3284221627979881,0.2579727136259951,-0.1345843300302961,-0.07727167809604123,0.08436699581306097,0.19417957951730605,0.4060213767681865,0.5338713893402317,0.5207755870088944,0.177654253388491,-0.03248579962869799,0.1571951370247648,0.19417957951730605,0.5445673142315794,1.0,0.9935301571603266,0.16798096026479967,0.2843757256355347,-0.0899006155153976,0.19417957951730605,0.4906991056651231,0.5971721917137173,0.5565182143336106,0.017900109711224767,0.11622355741658763,-0.04423245762429559
Saturation_Kurtosis,-0.028359509601351154,0.31783397750583775,0.2616003132976071,-0.12458961914039594,-0.0862862059416204,0.07585862677959071,0.19894113312638181,0.38306354918089724,0.49182724576721426,0.48247754856012637,0.19104630389490837,0.00807462655237649,0.16807384408624573,0.19894113312638181,0.5203845270847665,0.9935301571603266,1.0,0.19092555240027792,0.3036592848836306,-0.05649317201760198,0.19894113312638181,0.48066046991551276,0.5798768539628365,0.5418109411078872,0.030139326666565356,0.12162687129706831,-0.03472814036990228
Saturation_Median,-0.3933189851437636,0.2887230399500603,0.6713129024150709,0.3981823114162472,-0.5259942744107475,-0.4553685118414948,0.8637619320270674,0.6365867294438439,-0.031739701336476786,-0.009835610524987968,0.8008787185723806,0.3524705714546735,0.8010510368653285,0.8637619320270674,0.6283685637742158,0.16798096026479967,0.19092555240027792,1.0,0.9190963923105723,0.838378029744368,0.8637619320270674,0.6639078380036094,0.2589068656851082,0.3056478041581544,0.823837255608004,0.7763500880208699,0.8093763607306778
Saturation_25th_Percentile,-0.41104265285571806,0.38134855607491186,0.7156238854342285,0.3469330811642271,-0.5014701813873957,-0.4186599181151606,0.8580118601084202,0.6569440017362308,0.02487131470481291,0.04467156796472476,0.7733926501097272,0.3217542854886901,0.7880924472479854,0.8580118601084202,0.6856061128498868,0.2843757256355347,0.3036592848836306,0.9190963923105723,1.0,0.7486972816436364,0.8580118601084202,0.7015333553355645,0.314247644410588,0.3518539536982846,0.8111090974844402,0.7715964534488586,0.7563871122745963
Saturation_75th_Percentile,-0.3150643675318557,0.14915045055604828,0.5864460804176753,0.5081088579393502,-0.5846566593476994,-0.5377368003882262,0.863760257424153,0.6034372711116719,-0.08719025233167689,-0.05990437815240294,0.7842298330655864,0.42982350220714055,0.7732223804924143,0.863760257424153,0.5525844263501525,-0.0899006155153976,-0.05649317201760198,0.838378029744368,0.7486972816436364,1.0,0.863760257424153,0.6136824859054536,0.21165541149214992,0.27690359299590084,0.8115233878808342,0.7365850844314071,0.826693892714451
Value_Mean,-0.44512207895060285,0.31902513432706514,0.730079974497635,0.46669039634426096,-0.6148447143476291,-0.5307644320211969,1.0,0.8637598292557835,0.1784353313419372,0.19314012925231827,0.8593936824710294,0.29149937994977176,0.8637604112851746,1.0,0.8637598292557835,0.19417957951730605,0.19894113312638181,0.8637619320270674,0.8580118601084202,0.863760257424153,1.0,0.8637598292557835,0.44556160093762986,0.4958006597031921,0.8515573518053879,0.8145401451446019,0.8637603561127786
Value_StdDev,-0.3815560783347316,0.3397965259989252,0.6674524341283743,0.33281168000083716,-0.48207439978724226,-0.39480988741296286,0.8637598292557835,0.9012775769132393,0.44410994620384553,0.4411262587710246,0.7280254513230467,0.17041792112069315,0.7138729918642338,0.8637598292557835,0.9330691067185137,0.4906991056651231,0.48066046991551276,0.6639078380036094,0.7015333553355645,0.6136824859054536,0.8637598292557835,1.0,0.7294945291113897,0.7314253908604286,0.5801396138339616,0.6146451627290062,0.5851102044683895
Value_Skewness,-0.11998174929535896,0.2598596983021429,0.4231427530745386,0.05472043207414642,-0.17103625099313155,-0.1138846622176607,0.44556160093762986,0.6229037051327349,0.6098821952265489,0.5980852382417641,0.41378475887251653,0.06677543561010364,0.40297821745805473,0.44556160093762986,0.6716346383817106,0.5971721917137173,0.5798768539628365,0.2589068656851082,0.314247644410588,0.21165541149214992,0.44556160093762986,0.7294945291113897,1.0,0.9880125420511725,0.27046764241884813,0.39257422588697055,0.11675757877123598
Value_Kurtosis,-0.11893768528291603,0.2624101192356738,0.4590342485147311,0.09278144694451552,-0.2188707099179379,-0.16158924491258914,0.4958006597031921,0.6466459268629129,0.5842786864505469,0.5779779223028443,0.4537613747882961,0.09360485545741544,0.44735571646748873,0.4958006597031921,0.6886704222576148,0.5565182143336106,0.5418109411078872,0.3056478041581544,0.3518539536982846,0.27690359299590084,0.4958006597031921,0.7314253908604286,0.9880125420511725,1.0,0.33079358102424966,0.43507055587807675,0.19462993151767236
Value_Median,-0.38691013686764386,0.2534368353009186,0.6240397828829011,0.37539578814879065,-0.49928098437614454,-0.4265118000152292,0.8515573518053879,0.644074489289616,0.022122265291049954,0.0390374342963128,0.7940268810958776,0.3097286658633431,0.8071906835773474,0.8515573518053879,0.6387826933498381,0.017900109711224767,0.030139326666565356,0.823837255608004,0.8111090974844402,0.8115233878808342,0.8515573518053879,0.5801396138339616,0.27046764241884813,0.33079358102424966,1.0,0.8814670408113143,0.8138656171074913
Value_25th_Percentile,-0.4151950496843181,0.31275600971467943,0.6472964484741967,0.28996557996190714,-0.4380575084932863,-0.3387505119772248,0.8145401451446019,0.649704715579903,0.10558422232949949,0.12353326143334045,0.8021173671536181,0.29025643517873356,0.8003270015612208,0.8145401451446019,0.6681957317032872,0.11622355741658763,0.12162687129706831,0.7763500880208699,0.7715964534488586,0.7365850844314071,0.8145401451446019,0.6146451627290062,0.39257422588697055,0.43507055587807675,0.8814670408113143,1.0,0.6713247230818571
Value_75th_Percentile,-0.3896937020384646,0.2106157894006293,0.5844224869274891,0.47493333519613057,-0.5562306679080989,-0.5227354215502561,0.8637603561127786,0.666623276913211,-0.030011919758178247,-0.014025380236747324,0.7376910676700155,0.22884930338005435,0.7514434473112113,0.8637603561127786,0.6288350280654337,-0.04423245762429559,-0.03472814036990228,0.8093763607306778,0.7563871122745963,0.826693892714451,0.8637603561127786,0.5851102044683895,0.11675757877123598,0.19462993151767236,0.8138656171074913,0.6713247230818571,1.0
